DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;NO_TRIALS;MLFE;LF_COST;HF_COST;K;n_0;PROP_HF
29-Sep-2021;19:40:43;LV_f17_MF;10;316.680814;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:43;LV_f17_MF;11;159.632112;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:43;LV_f17_MF;12;354.478124;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:44;LV_f17_MF;13;87.929038;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:44;LV_f17_MF;14;249.631655;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:44;LV_f17_MF;15;288.755833;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:44;LV_f17_MF;16;272.907637;0.10;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:44;LV_f17_MF;17;284.713130;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:44;LV_f17_MF;18;302.599347;0.10;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:44;LV_f17_MF;19;586.051270;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:44;LV_f17_MF;20;293.570006;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:44;LV_f17_MF;21;300.428676;0.10;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:44;LV_f17_MF;22;146.519773;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:44;LV_f17_MF;23;236.333440;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:45;LV_f17_MF;24;542.340011;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:45;LV_f17_MF;25;156.955094;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:45;LV_f17_MF;26;381.765393;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:45;LV_f17_MF;27;276.974283;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:45;LV_f17_MF;28;286.487313;0.10;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:45;LV_f17_MF;29;277.866511;0.10;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:45;LV_f17_MF;30;219.443314;0.10;30;2000;1;5;10;3;0.250000
